pathway,database,overlap,pathway_size,fold_enrichment,vif,z_score,p_value,overlapping_genes,fdr_q
NRIF Signals Cell Death From Nucleus R-HSA-205043,Reactome,4,14,17.18,1.0,6.83,4.198086028667465e-12,"APH1A, MAPK8, PSENEN, UBA52",3.1191779192999267e-09
Mitochondrial Protein Import R-HSA-1268020,Reactome,9,62,8.73,1.57,5.93,1.5160354120265062e-09,"CHCHD7, COX19, DNAJC19, PAM16, TIMM10B, TIMM8A, TIMM8B, TOMM22, TOMM6",5.63207155567847e-07
GTP Hydrolysis And Joining Of 60S Ribosomal Subunit R-HSA-72706,Reactome,14,104,8.1,3.29,4.99,3.0219391293049114e-07,"EIF3I, EIF3K, EIF4E, FAU, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",7.484335910245165e-05
Cap-dependent Translation Initiation R-HSA-72737,Reactome,14,111,7.59,3.18,4.87,5.623959379040631e-07,"EIF3I, EIF3K, EIF4E, FAU, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",9.370938278144748e-05
Ribosomal Scanning And Start Codon Recognition R-HSA-72702,Reactome,7,54,7.8,1.52,4.85,6.306149581524057e-07,"EIF3I, EIF3K, EIF4E, FAU, RPS11, RPS2, RPS4X",9.370938278144748e-05
L13a-mediated Translational Silencing Of Ceruloplasmin Expression R-HSA-156827,Reactome,14,103,8.17,3.59,4.81,7.637544513042228e-07,"EIF3I, EIF3K, EIF4E, FAU, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",9.457825955317291e-05
Translation Initiation Complex Formation R-HSA-72649,Reactome,7,54,7.8,1.69,4.59,2.224631972221822e-06,"EIF3I, EIF3K, EIF4E, FAU, RPS11, RPS2, RPS4X",0.0002361287936229734
"mRNA Activation Upon Binding Of Cap-Binding Complex And eIFs, Subsequent Binding To 43S R-HSA-72662",Reactome,7,55,7.65,1.68,4.55,2.704013535486528e-06,"EIF3I, EIF3K, EIF4E, FAU, RPS11, RPS2, RPS4X",0.0002511352571083113
Constitutive Signaling By NOTCH1 HD+PEST Domain Mutants R-HSA-2894862,Reactome,6,56,6.44,1.17,4.41,5.0875814827000945e-06,"APH1A, CCNC, CDK8, HDAC3, PSENEN, UBA52",0.0004036902658497321
Formation Of A Pool Of Free 40S Subunits R-HSA-72689,Reactome,13,93,8.41,4.1,4.4,5.43324718505696e-06,"EIF3I, EIF3K, FAU, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",0.0004036902658497321
Regulation Of TP53 Degradation R-HSA-6804757,Reactome,5,33,9.11,1.72,4.11,1.9843108287347726e-05,"AKT3, CDK2, MLST8, PPP2CB, UBA52",0.0013327932863518666
SARS-CoV-2 Targets Host Intracellular Signaling And Regulatory Pathways R-HSA-9755779,Reactome,2,7,17.18,1.0,4.09,2.152559816449852e-05,"AKT3, CAV1",0.0013327932863518666
Regulation Of TP53 Expression And Degradation R-HSA-6806003,Reactome,5,34,8.84,1.72,4.03,2.7709259711630675e-05,"AKT3, CDK2, MLST8, PPP2CB, UBA52",0.001583690766595507
NOTCH2 Activation And Transmission Of Signal To Nucleus R-HSA-2979096,Reactome,3,19,9.5,1.0,3.92,4.41309352995838e-05,"APH1A, PSENEN, UBA52",0.0023420917805421974
RAB Geranylgeranylation R-HSA-8873719,Reactome,8,60,8.02,2.89,3.87,5.433178444530927e-05,"RAB10, RAB11A, RAB13, RAB21, RAB22A, RAB5B, RAB5C, RAB8A",0.0026912343895243193
Eukaryotic Translation Termination R-HSA-72764,Reactome,11,85,7.78,4.04,3.84,6.0419132266050826e-05,"FAU, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",0.0028057134546047354
Selenocysteine Synthesis R-HSA-2408557,Reactome,11,85,7.78,4.23,3.76,8.504209312273982e-05,"FAU, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",0.003716839717070334
NOTCH3 Activation And Transmission Of Signal To Nucleus R-HSA-9013507,Reactome,3,21,8.59,1.0,3.67,0.00011992220274815824,"APH1A, PSENEN, UBA52",0.0044193197208100155
"Formation Of Ternary Complex, And Subsequently, 43S Complex R-HSA-72695",Reactome,6,47,7.68,2.16,3.67,0.00012304399671371385,"EIF3I, EIF3K, FAU, RPS11, RPS2, RPS4X",0.0044193197208100155
Response Of EIF2AK4 (GCN2) To Amino Acid Deficiency R-HSA-9633012,Reactome,12,93,7.76,4.88,3.67,0.00012342151799857174,"CEBPG, FAU, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",0.0044193197208100155
Noncanonical Activation Of NOTCH3 R-HSA-9017802,Reactome,2,7,17.18,1.25,3.66,0.00012490674850203272,"APH1A, PSENEN",0.0044193197208100155
Viral mRNA Translation R-HSA-192823,Reactome,11,84,7.88,4.58,3.64,0.0001374642540008988,"FAU, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",0.004642542760121264
Nonsense Mediated Decay (NMD) Enhanced By Exon Junction Complex (EJC) R-HSA-975957,Reactome,12,105,6.87,4.35,3.58,0.00017055073473572696,"FAU, PPP2R2A, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",0.005509530256897615
Peptide Chain Elongation R-HSA-156902,Reactome,11,81,8.17,5.1,3.53,0.00020585595783182103,"FAU, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",0.006372957361210126
MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871,Reactome,7,92,4.58,1.33,3.52,0.00021449810316036608,"MAPK14, MAPK8, MEF2C, NKIRAS1, PELI1, PPP2CB, UBA52",0.00637488362592608
Nonsense Mediated Decay (NMD) Independent Of Exon Junction Complex (EJC) R-HSA-975956,Reactome,11,87,7.6,4.84,3.46,0.00027034582183305415,"FAU, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",0.007557264586355358
mTORC1-mediated Signaling R-HSA-166208,Reactome,3,23,7.84,1.0,3.46,0.00027462468887159443,"EIF4E, FKBP1A, MLST8",0.007557264586355358
Selenoamino Acid Metabolism R-HSA-2408522,Reactome,11,108,6.13,3.65,3.44,0.00029243569109805396,"FAU, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",0.007759989945923361
Mitophagy R-HSA-5205647,Reactome,4,24,10.02,2.1,3.42,0.00031343206849010225,"CSNK2A2, TOMM22, TOMM6, UBA52",0.008030345754763654
TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138,Reactome,7,96,4.39,1.33,3.4,0.00033478253918485767,"MAPK14, MAPK8, MEF2C, NKIRAS1, PELI1, PPP2CB, UBA52",0.008291447553811641
Autodegradation Of Cdh1 By Cdh1:APC/C R-HSA-174084,Reactome,6,61,5.92,1.76,3.39,0.0003523866470370607,"ANAPC16, PSMB2, PSMB3, PSMD11, UBA52, UBE2E1",0.008445912217694713
MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155,Reactome,7,97,4.34,1.33,3.37,0.0003720334487434213,"MAPK14, MAPK8, MEF2C, NKIRAS1, PELI1, PPP2CB, UBA52",0.008638151638011312
MAPK Targets/ Nuclear Events Mediated By MAP Kinases R-HSA-450282,Reactome,4,29,8.3,1.7,3.36,0.00038978895222653695,"MAPK14, MAPK8, MEF2C, PPP2CB",0.00875743403226318
Protein Localization R-HSA-9609507,Reactome,10,153,3.93,1.75,3.35,0.00041108592921571956,"CHCHD7, COX19, DNAJC19, PAM16, TIMM10B, TIMM8A, TIMM8B, TOMM22, TOMM6, UBA52",0.00875743403226318
Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181,Reactome,7,98,4.3,1.33,3.34,0.0004125305398778079,"MAPK14, MAPK8, MEF2C, NKIRAS1, PELI1, PPP2CB, UBA52",0.00875743403226318
Eukaryotic Translation Elongation R-HSA-156842,Reactome,11,85,7.78,5.39,3.33,0.0004345220673406949,"FAU, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",0.008968052667614896
Signal Amplification R-HSA-392518,Reactome,4,32,7.52,1.55,3.3,0.0004812283998665306,"GNAI1, GNG11, GNG12, MAPK14",0.00942970233174055
ADP Signaling Thru P2Y Purinoceptor 12 R-HSA-392170,Reactome,3,21,8.59,1.24,3.29,0.0004931530309348022,"GNAI1, GNG11, GNG12",0.00942970233174055
Cellular Response To Starvation R-HSA-9711097,Reactome,14,145,5.81,4.83,3.29,0.0004949641869958027,"ATP6V1G1, CEBPG, FAU, MLST8, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",0.00942970233174055
Protein Folding R-HSA-391251,Reactome,8,91,5.29,2.24,3.29,0.0005081368088207674,"ARL2, CSNK2A2, GNG11, GNG12, HDAC3, PFDN1, PFDN6, TUBB4A",0.009438641223845754
SMAD2/SMAD3:SMAD4 Heterotrimer Regulates Transcription R-HSA-2173796,Reactome,4,32,7.52,1.57,3.27,0.0005312049745230937,"CCNC, CDK8, CDK9, UBA52",0.009626470635869723
Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138,Reactome,7,101,4.17,1.33,3.26,0.0005555035039174675,"MAPK14, MAPK8, MEF2C, NKIRAS1, PELI1, PPP2CB, UBA52",0.009827121509778056
Vasopressin-regulated water reabsorption,KEGG,5,40,7.52,2.15,3.24,0.0006065678064905491,"PRKACA, RAB11A, RAB11B, RAB5B, RAB5C",0.010117904910158466
Signaling By NOTCH3 R-HSA-9012852,Reactome,4,44,5.47,1.02,3.23,0.0006088271299996559,"APH1A, PBX1, PSENEN, UBA52",0.010117904910158466
PINK1-PRKN Mediated Mitophagy R-HSA-5205685,Reactome,3,18,10.02,1.58,3.23,0.0006281368622917526,"TOMM22, TOMM6, UBA52",0.010117904910158466
Endosomal Sorting Complex Required For Transport (ESCRT) R-HSA-917729,Reactome,3,17,10.61,1.71,3.22,0.0006402059741814328,"CHMP2B, CHMP4B, UBA52",0.010117904910158466
Budding And Maturation Of HIV Virion R-HSA-162588,Reactome,3,17,10.61,1.71,3.22,0.0006402059741814328,"CHMP2B, CHMP4B, UBA52",0.010117904910158466
RAB GEFs Exchange GTP For GDP On RABs R-HSA-8876198,Reactome,9,88,6.15,3.35,3.21,0.0006536466159994702,"AKT3, RAB10, RAB13, RAB21, RAB5B, RAB5C, RAB8A, TRAPPC1, TRAPPC2L",0.010117904910158466
MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058,Reactome,8,108,4.45,1.81,3.2,0.0006884366153105225,"MAPK14, MAPK8, MEF2C, NKIRAS1, PELI1, PPP2CB, S100A1, UBA52",0.010438947044402415
CDK-mediated Phosphorylation And Removal Of Cdc6 R-HSA-69017,Reactome,7,70,6.01,2.46,3.19,0.0007110842449081605,"ANAPC16, CDK2, PSMB2, PSMB3, PSMD11, UBA52, UBE2E1",0.010566711879335267
APC/C:Cdc20 Mediated Degradation Of Cyclin B R-HSA-174048,Reactome,3,22,8.2,1.28,3.15,0.0008161385490817451,"ANAPC16, UBA52, UBE2E1",0.011890018469955622
Regulated Proteolysis Of p75NTR R-HSA-193692,Reactome,2,11,10.93,1.0,3.11,0.0009462120242533423,"APH1A, PSENEN",0.013385111386639137
NOTCH4 Activation And Transmission Of Signal To Nucleus R-HSA-9013700,Reactome,2,10,12.03,1.13,3.1,0.0009547926022770852,"APH1A, PSENEN",0.013385111386639137
SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339,Reactome,11,103,6.42,4.87,3.08,0.0010375932038817054,"FAU, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",0.013792032658778304
Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,Reactome,14,159,5.3,4.83,3.08,0.0010391353679548947,"FAU, PSMB2, PSMB3, PSMD11, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",0.013792032658778304
Regulation Of PTEN Stability And Activity R-HSA-8948751,Reactome,6,63,5.73,2.04,3.08,0.0010395071721286473,"AKT3, CSNK2A2, PSMB2, PSMB3, PSMD11, UBA52",0.013792032658778304
Cyclin E Associated Events During G1/S Transition R-HSA-69202,Reactome,6,79,4.57,1.47,3.05,0.001155250105498701,"AKT3, CDK2, PSMB2, PSMB3, PSMD11, UBA52",0.014858365453956609
APC/C:Cdc20 Mediated Degradation Of Securin R-HSA-174154,Reactome,6,65,5.55,1.99,3.05,0.001159872404211956,"ANAPC16, PSMB2, PSMB3, PSMD11, UBA52, UBE2E1",0.014858365453956609
DNA Replication Pre-Initiation R-HSA-69002,Reactome,9,123,4.4,2.28,3.03,0.0012250467779176407,"ANAPC16, CDK2, H2AX, POLE3, PSMB2, PSMB3, PSMD11, UBA52, UBE2E1",0.015427283999878087
Signaling By NOTCH4 R-HSA-9013694,Reactome,6,78,4.63,1.53,3.02,0.0012801980219177818,"APH1A, PSENEN, PSMB2, PSMB3, PSMD11, UBA52",0.015824723244692748
Activation Of AP-1 Family Of Transcription Factors R-HSA-450341,Reactome,2,10,12.03,1.2,3.01,0.0012992033888644112,"MAPK14, MAPK8",0.015824723244692748
ERK/MAPK Targets R-HSA-198753,Reactome,3,21,8.59,1.5,3.0,0.001367981210667245,"MAPK14, MEF2C, PPP2CB",0.016393710314931663
Golgi Associated Vesicle Biogenesis R-HSA-432722,Reactome,5,49,6.14,1.91,2.99,0.001406435259497881,"AP1M1, AP1S3, BLOC1S1, RAB5C, SNAPIN",0.016587006314395643
APC-Cdc20 Mediated Degradation Of Nek2A R-HSA-179409,Reactome,3,24,7.52,1.28,2.97,0.001493024718582578,"ANAPC16, UBA52, UBE2E1",0.017333083842294615
Ribosome,KEGG,13,127,6.16,5.97,2.96,0.0015299758031325236,"FAU, MRPL33, MRPS21, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",0.017488800334268695
COPII-mediated Vesicle Transport R-HSA-204005,Reactome,6,63,5.73,2.22,2.95,0.0015723283685181125,"BET1, CNIH3, SAR1B, SEC22B, TRAPPC1, TRAPPC2L",0.017700605724378145
Activated NOTCH1 Transmits Signal To Nucleus R-HSA-2122948,Reactome,3,29,6.22,1.0,2.93,0.0016787801494467763,"APH1A, PSENEN, UBA52",0.01861692016476052
G1/S Transition R-HSA-69206,Reactome,8,126,3.82,1.67,2.93,0.001712811690547385,"AKT3, CDK2, POLE3, PPP2CB, PSMB2, PSMB3, PSMD11, UBA52",0.018714986559951574
Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273,Reactome,3,23,7.84,1.41,2.91,0.001778902442533143,"CDK2, PPP2CB, PPP2R2A",0.018957183166872043
"GABA Synthesis, Release, Reuptake And Degradation R-HSA-888590",Reactome,3,18,10.02,1.94,2.91,0.0017860064894765046,"CPLX1, DNAJC5, SYT1",0.018957183166872043
MASTL Facilitates Mitotic Progression R-HSA-2465910,Reactome,2,10,12.03,1.29,2.9,0.0018470701918375737,"ARPP19, PPP2CB",0.019125514132681137
Signaling By NOTCH R-HSA-157118,Reactome,11,195,3.39,1.99,2.9,0.0018748841979609678,"APH1A, CCNC, CDK8, H2AX, HDAC3, PBX1, PSENEN, PSMB2, PSMB3, PSMD11, UBA52",0.019125514132681137
Nef Mediated Downregulation Of MHC Class I Complex Cell Surface Expression R-HSA-164940,Reactome,2,9,13.36,1.48,2.9,0.001879088198769479,"AP1M1, AP1S3",0.019125514132681137
G Beta:Gamma Signaling Thru PI3Kgamma R-HSA-392451,Reactome,3,24,7.52,1.36,2.88,0.002017592398566186,"AKT3, GNG11, GNG12",0.02025771827209022
Disassembly Of Destruction Complex And Recruitment Of AXIN To Membrane R-HSA-4641262,Reactome,3,25,7.22,1.3,2.86,0.0020858805166962474,"CAV1, CSNK1A1, PPP2CB",0.0205869079256218
Signaling By NOTCH2 R-HSA-1980145,Reactome,3,30,6.01,1.0,2.86,0.002118290941924362,"APH1A, PSENEN, UBA52",0.0205869079256218
PTEN Regulation R-HSA-6807070,Reactome,10,132,4.56,3.05,2.86,0.0021335018980792445,"AKT3, CSNK2A2, HDAC3, MLST8, PSMB2, PSMB3, PSMD11, RBBP7, RNF2, UBA52",0.0205869079256218
DSCAM Interactions R-HSA-376172,Reactome,2,11,10.93,1.2,2.84,0.002285691166567396,"MAPK14, MAPK8",0.021772673548199683
Regulation Of APC/C Activators Between G1/S And Early Anaphase R-HSA-176408,Reactome,7,78,5.4,2.66,2.83,0.002323838544242313,"ANAPC16, CDK2, PSMB2, PSMB3, PSMD11, UBA52, UBE2E1",0.02185584858698783
APC/C:Cdh1 Mediated Degradation Of Cdc20 And APC/C:Cdh1 Targets In Late Mitosis/Early G1 R-HSA-174178,Reactome,6,71,5.08,2.02,2.82,0.0023709460244056625,"ANAPC16, PSMB2, PSMB3, PSMD11, UBA52, UBE2E1",0.02202016120166759
Switching Of Origins To A Post-Replicative State R-HSA-69052,Reactome,7,88,4.78,2.24,2.81,0.0024544444897801926,"ANAPC16, CDK2, PSMB2, PSMB3, PSMD11, UBA52, UBE2E1",0.022369373539083998
ADP Signaling Thru P2Y Purinoceptor 1 R-HSA-418592,Reactome,3,24,7.52,1.43,2.81,0.0024925888932871105,"GNG11, GNG12, MAPK14",0.022369373539083998
VEGFR2 Mediated Vascular Permeability R-HSA-5218920,Reactome,3,24,7.52,1.43,2.81,0.0024988667614319945,"AKT3, CAV1, MLST8",0.022369373539083998
Dopaminergic synapse,KEGG,10,128,4.7,3.39,2.78,0.0027240694137721107,"AKT3, GNAI1, GNG11, GNG12, MAPK14, MAPK8, PPP2CB, PPP2R2A, PPP2R2B, PRKACA",0.023888885764997782
Cellular Senescence R-HSA-2559583,Reactome,10,158,3.81,2.39,2.78,0.002732914253061657,"ANAPC16, CDK2, H2AX, HMGA2, MAPK14, MAPK8, RBBP7, RNF2, UBA52, UBE2E1",0.023888885764997782
Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164,Reactome,6,99,3.64,1.21,2.77,0.002830950571595064,"MAPK14, MAPK8, MEF2C, NKIRAS1, PPP2CB, UBA52",0.02445809621738526
Mitotic G1 Phase And G1/S Transition R-HSA-453279,Reactome,9,144,3.76,2.1,2.76,0.0029248967694433803,"AKT3, CDK2, POLE3, PPP2CB, PPP2R2A, PSMB2, PSMB3, PSMD11, UBA52",0.024815508771430208
Cyclin A:Cdk2-associated Events At S Phase Entry R-HSA-69656,Reactome,6,81,4.45,1.73,2.75,0.0029391181317440893,"AKT3, CDK2, PSMB2, PSMB3, PSMD11, UBA52",0.024815508771430208
Late Endosomal Microautophagy R-HSA-9615710,Reactome,3,22,8.2,1.71,2.73,0.003213685773884567,"CHMP2B, CHMP4B, UBA52",0.026523820522086378
APC/C-mediated Degradation Of Cell Cycle Proteins R-HSA-174143,Reactome,7,85,4.95,2.52,2.72,0.003232172520352737,"ANAPC16, CDK2, PSMB2, PSMB3, PSMD11, UBA52, UBE2E1",0.026523820522086378
Chaperonin-mediated Protein Folding R-HSA-390466,Reactome,7,85,4.95,2.53,2.72,0.0032485432940913333,"CSNK2A2, GNG11, GNG12, HDAC3, PFDN1, PFDN6, TUBB4A",0.026523820522086378
Coronavirus disease,KEGG,13,208,3.76,3.3,2.72,0.0033047552390032655,"FAU, MAPK14, MAPK8, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",0.026634856455239893
Downregulation Of ERBB2:ERBB3 Signaling R-HSA-1358803,Reactome,2,10,12.03,1.48,2.71,0.0033338380219883044,"AKT3, UBA52",0.026634856455239893
MyD88-independent TLR4 Cascade R-HSA-166166,Reactome,6,102,3.54,1.21,2.69,0.0035646607193326268,"MAPK14, MAPK8, MEF2C, NKIRAS1, PPP2CB, UBA52",0.028175988451746188
Rab Regulation Of Trafficking R-HSA-9007101,Reactome,10,119,5.05,4.07,2.68,0.0036497568209752644,"AKT3, RAB10, RAB11A, RAB13, RAB21, RAB5B, RAB5C, RAB8A, TRAPPC1, TRAPPC2L",0.028544940189311807
Myc Targets V1,Hallmark,14,191,4.41,4.85,2.67,0.0038055127511273843,"ABCE1, CBX3, CDK2, COPS5, EIF4E, HSPE1, ILF2, POLE3, PSMB2, PSMB3, RPS2, SF3B3, SYNCRIP, UBE2E1",0.029130799034921016
Degradation Of AXIN R-HSA-4641257,Reactome,4,52,4.63,1.15,2.67,0.0038264790096081878,"PSMB2, PSMB3, PSMD11, UBA52",0.029130799034921016
Signaling By NOTCH1 R-HSA-1980143,Reactome,6,72,5.01,2.23,2.66,0.0038708749969111516,"APH1A, CCNC, CDK8, HDAC3, PSENEN, UBA52",0.029130799034921016
Cyclin D Associated Events In G1 R-HSA-69231,Reactome,4,45,5.35,1.46,2.66,0.0038814927381657883,"CDK2, PPP2CB, PPP2R2A, UBA52",0.029130799034921016
SARS-CoV-1 Infection R-HSA-9678108,Reactome,4,45,5.35,1.46,2.66,0.003926435621135302,"CAV1, CHMP2B, CHMP4B, UBA52",0.02917341666503529
Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016,Reactome,8,135,3.56,1.81,2.64,0.004159545537366338,"MAPK14, MAPK8, MEF2C, NKIRAS1, PELI1, PPP2CB, S100A1, UBA52",0.030599429052110782
Regulation Of RUNX3 Expression And Activity R-HSA-8941858,Reactome,4,52,4.63,1.2,2.61,0.004464492916911439,"PSMB2, PSMB3, PSMD11, UBA52",0.03252076703201175
GLI3 Is Processed To GLI3R By Proteasome R-HSA-5610785,Reactome,5,56,5.37,2.09,2.59,0.004833252444085978,"CSNK1A1, PSMB2, PSMB3, PSMD11, UBA52",0.034865112290833805
Assembly Of Pre-Replicative Complex R-HSA-68867,Reactome,7,106,3.97,1.96,2.58,0.004928920254892403,"ANAPC16, H2AX, PSMB2, PSMB3, PSMD11, UBA52, UBE2E1",0.03521334374408707
Degradation Of GLI2 By Proteasome R-HSA-5610783,Reactome,5,56,5.37,2.1,2.58,0.004984389150553987,"CSNK1A1, PSMB2, PSMB3, PSMD11, UBA52",0.03527048703677726
Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253,Reactome,6,81,4.45,1.98,2.57,0.00505037381746134,"CSNK1A1, PPP2CB, PSMB2, PSMB3, PSMD11, UBA52",0.035400261758243165
Signaling By ROBO Receptors R-HSA-376176,Reactome,14,197,4.27,5.0,2.57,0.005153983449760588,"FAU, PSMB2, PSMB3, PSMD11, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",0.03578887573058053
Translation Of Replicase And Assembly Of Replication Transcription Complex R-HSA-9679504,Reactome,2,10,12.03,1.67,2.55,0.005369035594317401,"CHMP2B, CHMP4B",0.03693697635720212
Cdc20:Phospho-APC/C Mediated Degradation Of Cyclin A R-HSA-174184,Reactome,6,70,5.15,2.55,2.55,0.005457536343346994,"ANAPC16, PSMB2, PSMB3, PSMD11, UBA52, UBE2E1",0.03699832876193805
MAP Kinase Activation R-HSA-450294,Reactome,5,59,5.1,1.99,2.54,0.005477545307958527,"MAPK14, MAPK8, MEF2C, PPP2CB, UBA52",0.03699832876193805
APC:Cdc20 Mediated Degradation Of Cell Cycle Proteins Before Cycle Checkpoint Satisfied R-HSA-179419,Reactome,6,71,5.08,2.5,2.54,0.005553288897042351,"ANAPC16, PSMB2, PSMB3, PSMD11, UBA52, UBE2E1",0.0371720148693916
Negative Regulation Of NOTCH4 Signaling R-HSA-9604323,Reactome,4,50,4.81,1.37,2.52,0.005785502448936774,"PSMB2, PSMB3, PSMD11, UBA52",0.03838060999607163
Transcriptional Activity Of SMAD2/SMAD3:SMAD4 Heterotrimer R-HSA-2173793,Reactome,4,46,5.23,1.57,2.52,0.005913301504333195,"CCNC, CDK8, CDK9, UBA52",0.038881265643535966
Orc1 Removal From Chromatin R-HSA-68949,Reactome,5,67,4.49,1.66,2.51,0.005979922985586418,"CDK2, PSMB2, PSMB3, PSMD11, UBA52",0.03897441033588341
"Adrenaline,noradrenaline Inhibits Insulin Secretion R-HSA-400042",Reactome,3,27,6.68,1.52,2.51,0.006067634755556576,"GNAI1, GNG11, GNG12",0.039202196725030745
Host Interactions Of HIV Factors R-HSA-162909,Reactome,8,124,3.88,2.36,2.5,0.006275440176888977,"AP1M1, AP1S3, BANF1, CDK9, PSMB2, PSMB3, PSMD11, UBA52",0.04007143904048428
APC/C:Cdc20 Mediated Degradation Of Mitotic Proteins R-HSA-176409,Reactome,6,73,4.94,2.49,2.49,0.006310038179995506,"ANAPC16, PSMB2, PSMB3, PSMD11, UBA52, UBE2E1",0.04007143904048428
Cellular Responses To Stress R-HSA-2262752,Reactome,35,689,3.06,7.98,2.49,0.006428375593387699,"ACTR1A, AKT3, ANAPC16, ATP6V1G1, CDK2, CEBPG, COX19, COX7A2L, COX8A, CSNK2A2, FAU, H2AX, HDAC3, HIKESHI, HMGA2, MAPK14, MAPK8, MEF2C, MLST8, PSMB2, PSMB3, PSMD11, RBBP7, RNF2, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52, UBE2E1",0.040476975134636106
Cytoprotection By HMOX1 R-HSA-9707564,Reactome,4,55,4.37,1.23,2.46,0.006874108746497627,"COX19, COX7A2L, COX8A, HDAC3",0.04276443098875566
MTOR Signaling R-HSA-165159,Reactome,4,40,6.01,2.03,2.46,0.006924563952700857,"CAB39, EIF4E, FKBP1A, MLST8",0.04276443098875566
Cellular Responses To Stimuli R-HSA-8953897,Reactome,35,693,3.04,8.08,2.46,0.006964328599783896,"ACTR1A, AKT3, ANAPC16, ATP6V1G1, CDK2, CEBPG, COX19, COX7A2L, COX8A, CSNK2A2, FAU, H2AX, HDAC3, HIKESHI, HMGA2, MAPK14, MAPK8, MEF2C, MLST8, PSMB2, PSMB3, PSMD11, RBBP7, RNF2, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52, UBE2E1",0.04276443098875566
ER-Phagosome Pathway R-HSA-1236974,Reactome,6,79,4.57,2.26,2.46,0.007026619371440269,"PSMB2, PSMB3, PSMD11, S100A1, SEC22B, UBA52",0.04279326387688623
G2/M Transition R-HSA-69275,Reactome,10,171,3.52,2.68,2.45,0.007222100251968312,"ACTR1A, CDK2, PPP2CB, PPP2R2A, PSMB2, PSMB3, PSMD11, RAB8A, TUBB4A, UBA52",0.04350005878176432
Endocytosis,KEGG,13,211,3.71,3.98,2.44,0.007259767549042767,"ARPC5, CAV1, CAV3, CHMP2B, CHMP4B, RAB10, RAB11A, RAB11B, RAB22A, RAB5B, RAB5C, RAB8A, SNX3",0.04350005878176432
Translocation Of SLC2A4 (GLUT4) To Plasma Membrane R-HSA-1445148,Reactome,4,44,5.47,1.8,2.44,0.00735743150774944,"RAB10, RAB11A, RAB13, RAB8A",0.04373257288206267
Progesterone-mediated oocyte maturation,KEGG,6,90,4.01,1.86,2.43,0.007544882397913428,"AKT3, CDK2, GNAI1, MAPK14, MAPK8, PRKACA",0.04446803048270869
Influenza Viral RNA Transcription And Replication R-HSA-168273,Reactome,11,129,5.13,5.66,2.43,0.0076008611996016195,"FAU, RPL12, RPL23A, RPL27A, RPL30, RPL8, RPL9, RPS11, RPS2, RPS4X, UBA52",0.04446803048270869
